Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
AAAP,Advanced Accelerator Applications S.A. ,Advanced Accelerator Applications S.A. - American Depositary Shares,Q,N,N,100.0,N,N
AAL,"American Airlines Group, Inc. ","American Airlines Group, Inc. - Common Stock",Q,N,N,100.0,N,N
AAME,Atlantic American Corporation ,Atlantic American Corporation - Common Stock,G,N,N,100.0,N,N
AAOI,"Applied Optoelectronics, Inc. ","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0,N,N
AAON,"AAON, Inc. ","AAON, Inc. - Common Stock",Q,N,N,100.0,N,N
AAPC,Atlantic Alliance Partnership Corp. ,Atlantic Alliance Partnership Corp. - Ordinary Shares,S,N,N,100.0,N,N
AAPL,Apple Inc. ,Apple Inc. - Common Stock,Q,N,N,100.0,N,N
AAWW,Atlas Air Worldwide Holdings ,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100.0,N,N
ABAC,"Aoxin Tianli Group, Inc. ","Aoxin Tianli Group, Inc. - Common Shares",S,N,N,100.0,N,N
ABAX,"ABAXIS, Inc. ","ABAXIS, Inc. - Common Stock",Q,N,N,100.0,N,N
ABCB,Ameris Bancorp ,Ameris Bancorp - Common Stock,Q,N,N,100.0,N,N
ABCD,"Cambium Learning Group, Inc. ","Cambium Learning Group, Inc. - Common Stock",S,N,N,100.0,N,N
ABCO,The Advisory Board Company ,The Advisory Board Company - Common Stock,Q,N,N,100.0,N,N
ABDC,Alcentra Capital Corp. ,Alcentra Capital Corp. - Common Stock,Q,N,N,100.0,N,N
ABEO,Abeona Therapeutics Inc. ,Abeona Therapeutics Inc. - Common Stock,S,N,D,100.0,N,N
ABEOW,Abeona Therapeutics Inc. ,Abeona Therapeutics Inc. - Warrant,S,N,D,100.0,N,N
ABIL,Ability Inc. ,Ability Inc. - Ordinary Shares,S,N,N,100.0,N,N
ABIO,"ARCA biopharma, Inc. ","ARCA biopharma, Inc. - Common Stock",S,N,N,100.0,N,N
ABMD,"ABIOMED, Inc. ","ABIOMED, Inc. - Common Stock",Q,N,N,100.0,N,N
ABTL,Autobytel Inc. ,Autobytel Inc. - Common Stock,S,N,N,100.0,N,N
ABTX,"Allegiance Bancshares, Inc. ","Allegiance Bancshares, Inc. - Common Stock",G,N,N,100.0,N,N
ABUS,Arbutus Biopharma Corporation ,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100.0,N,N
ABY,Atlantica Yield plc ,Atlantica Yield plc - Ordinary Shares,Q,N,N,100.0,N,N
ACAD,ACADIA Pharmaceuticals Inc. ,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0,N,N
ACBI,"Atlantic Capital Bancshares, Inc. ","Atlantic Capital Bancshares, Inc. - Common Stock",Q,N,N,100.0,N,N
ACET,Aceto Corporation ,Aceto Corporation - Common Stock,Q,N,N,100.0,N,N
ACFC,Atlantic Coast Financial Corporation ,Atlantic Coast Financial Corporation - Common Stock,G,N,N,100.0,N,N
ACGL,Arch Capital Group Ltd. ,Arch Capital Group Ltd. - Common Stock,Q,N,N,100.0,N,N
ACGLP,Arch Capital Group Ltd. ,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,100.0,N,N
ACHC,"Acadia Healthcare Company, Inc. ","Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0,N,N
ACHN,"Achillion Pharmaceuticals, Inc. ","Achillion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
ACIA,"Acacia Communications, Inc. ","Acacia Communications, Inc. - Common Stock",Q,N,N,100.0,N,N
ACIU,AC Immune SA ,AC Immune SA - Common Stock,G,N,N,100.0,N,N
ACIW,"ACI Worldwide, Inc. ","ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0,N,N
ACLS,"Axcelis Technologies, Inc. ","Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
ACNB,ACNB Corporation ,ACNB Corporation - Common Stock,S,N,N,100.0,N,N
ACOR,"Acorda Therapeutics, Inc. ","Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
ACRS,"Aclaris Therapeutics, Inc. ","Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
ACRX,"AcelRx Pharmaceuticals, Inc. ","AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
ACSF,"American Capital Senior Floating, Ltd. ","American Capital Senior Floating, Ltd. - Common Stock",Q,N,N,100.0,N,N
ACST,"Acasti Pharma, Inc. ","Acasti Pharma, Inc. - Class A Common Stock",S,N,N,100.0,N,N
ACTA,Actua Corporation ,Actua Corporation - Common Stock,Q,N,N,100.0,N,N
